run_id,timestamp_utc,commit_hash,model_name,backbone,framework,input_size,params_count,epochs_trained,train_samples,val_samples,batch_size,lr,val_accuracy,val_macro_f1,val_macro_recall,best_checkpoint_path,onnx_path,tflite_path,gradcam_folder,notes
20251124_215325_efficientnet_b0_8156067,2025-11-24T21:57:28.880362+00:00,8156067f996a7995261e321f1021dea2f8f2cf02,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,1,152,38,8,0.001,0.18421052631578946,0.13520074696545284,0.21568627450980393,models\20251124_215325_efficientnet_b0_8156067\best.pth,,,models\20251124_215325_efficientnet_b0_8156067\gradcam,Reference model used for production ensemble
20251124_215728_mobilenet_v3_small_79c8bf8,2025-11-24T22:01:50.164391+00:00,79c8bf8157af29888e72b3cbff5831001a95ae82,mobilenet_v3_small,mobilenetv3_small,pytorch,224,2180403,1,152,38,8,0.0007,0.02631578947368421,0.008097165991902834,0.05263157894736842,models\20251124_215728_mobilenet_v3_small_79c8bf8\best.pth,,,models\20251124_215728_mobilenet_v3_small_79c8bf8\gradcam,Optimized for mobile/edge deployments
20251124_220150_resnet18_458db0e,2025-11-24T22:06:43.472404+00:00,458db0ea0db5d59ba2ac7524fb6ddd7bd4fcb638,resnet18,resnet18,pytorch,224,11576915,1,152,38,8,0.0008,0.10526315789473684,0.08796296296296295,0.08796296296296297,models\20251124_220150_resnet18_458db0e\best.pth,,,models\20251124_220150_resnet18_458db0e\gradcam,Robust classic architecture for ensemble diversity
20251124_215522_efficientnet_b0_0ef6bc3,2025-11-24T22:28:25.206469+00:00,0ef6bc3671c2a8d599308c511b02c6e3d7187cf4,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,8,1596,399,8,0.001,0.6942355889724311,0.6781001111736782,0.6897828641828331,models\20251124_215522_efficientnet_b0_0ef6bc3\best.pth,models\20251124_215522_efficientnet_b0_0ef6bc3\model.onnx,,models\20251124_215522_efficientnet_b0_0ef6bc3\gradcam,Reference model used for production ensemble
20251124_222825_mobilenet_v3_small_db64906,2025-11-24T22:46:06.117053+00:00,db64906bf432a88dbb0679935654d0c122ca3f7a,mobilenet_v3_small,mobilenetv3_small,pytorch,224,2180403,6,1596,399,8,0.0007,0.6741854636591479,0.6676598336044816,0.6918395464987059,models\20251124_222825_mobilenet_v3_small_db64906\best.pth,models\20251124_222825_mobilenet_v3_small_db64906\model.onnx,,models\20251124_222825_mobilenet_v3_small_db64906\gradcam,Optimized for mobile/edge deployments
20251124_224606_resnet18_db64906,2025-11-24T23:14:11.846423+00:00,db64906bf432a88dbb0679935654d0c122ca3f7a,resnet18,resnet18,pytorch,224,11576915,8,1596,399,8,0.0008,0.6741854636591479,0.651287109312427,0.6751233917615664,models\20251124_224606_resnet18_db64906\best.pth,models\20251124_224606_resnet18_db64906\model.onnx,,models\20251124_224606_resnet18_db64906\gradcam,Robust classic architecture for ensemble diversity
20251125_220606_efficientnet_b0_b7ace87,2025-11-25T22:08:29.730427+00:00,b7ace87182bc1ceb98c3d989b581913a6cc17483,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,1,152,38,8,0.001,0.18421052631578946,0.10175438596491228,0.12280701754385966,models\20251125_220606_efficientnet_b0_b7ace87\best.pth,models\20251125_220606_efficientnet_b0_b7ace87\model.onnx,,models\20251125_220606_efficientnet_b0_b7ace87\gradcam,Reference model used for production ensemble
20251125_220829_mobilenet_v3_small_bde008e,2025-11-25T22:10:48.023984+00:00,bde008e87598540d22b14fa39c92a239044cc6a1,mobilenet_v3_small,mobilenetv3_small,pytorch,224,2180403,1,152,38,8,0.0007,0.13157894736842105,0.11228070175438597,0.11842105263157894,models\20251125_220829_mobilenet_v3_small_bde008e\best.pth,models\20251125_220829_mobilenet_v3_small_bde008e\model.onnx,,models\20251125_220829_mobilenet_v3_small_bde008e\gradcam,Optimized for mobile/edge deployments
20251125_221048_resnet18_01d2c00,2025-11-25T22:13:24.030972+00:00,01d2c004072ca0ad0f72133adf2d464a0ef15686,resnet18,resnet18,pytorch,224,11576915,1,152,38,8,0.0008,0.07894736842105263,0.04613807245386193,0.08771929824561403,models\20251125_221048_resnet18_01d2c00\best.pth,models\20251125_221048_resnet18_01d2c00\model.onnx,,models\20251125_221048_resnet18_01d2c00\gradcam,Robust classic architecture for ensemble diversity
20251125_223058_efficientnet_b0_d8a9d30,2025-11-25T22:49:48.375161+00:00,d8a9d3070ae9bb4b3da0c01b52f258cbec55c574,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,8,1596,399,8,0.001,0.7243107769423559,0.7049258609624661,0.710331668132711,models\20251125_223058_efficientnet_b0_d8a9d30\best.pth,models\20251125_223058_efficientnet_b0_d8a9d30\model.onnx,,models\20251125_223058_efficientnet_b0_d8a9d30\gradcam,Reference model used for production ensemble
